English;French;Dutch;German;Swedish
Loading resources;Charge des ressources;Informatie laden ;Ressourcen werden geladen;
Login success;Connection réussie;Login succesvol ;Anmeldung erfolgreich;
Logout?;Déconnexion?;Uitloggen?;Abmelden?;
Logout;Déconnexion;Uitloggen;Abmelden;
Low sodium;Faible en sodium;Natriumarm ;Natriumarm;
Lower secondary;Collège ;Lager middelbaar;Hauptschule;
Male;Homme;Mannelijk;Männlich;
Marital Status;Situation de famille;Burgerlijke staat;Familienstand;
Married;Marié;Getrouwd;verheiratet;
Master;Master / diplôme universitaire;Masteropleiding;Master /Diplom;
Medications taking;Prise de médicaments;Medicatie  ;Medikamente;
Middle Name;Deuxième prénom;Tweede naam;Zweiter Name;
Mites;Acariens;Mijt ;Milben;
Mobile Phone;Numéro de portable;Mobiel nummer;Mobiltelefon Nummer;
Mobility Level;Niveau de mobilité;Mobiliteit niveau;Mobilitätsgrad;
Mod. Rankin Scale;Echelle de Rankin modifiée;Mod. Rankin Schaal;Modifizierte Rankin Skala (mrs) ;
More Info;Informations complémentaires;Verdere informatie;weitergehende Information;
Mother;Mère;Moeder;Mutter;
Muscle Grading;Evaluation musculaire;Spier;Muskel-Bewertung;
Nationality;Nationalité;Nationaliteit;Nationalität;
New Contact;Nouveau contact;Nieuw contact;Neuer Kontakt;
Next of Kin;Proches parents;Naasten ;Nächste Angehörige;
No account?;Pas de compte?;Geen account?;Kein Konto?;
Notable medication incidents;Incidents médicamenteux notables;Medicatie incidenten ;Bekannte medikationsbezogene Vorfälle;
Number;Numéro;Huisnummer;Hausnummer;
Nurse;Infirmière;Verpleegster;Pflegekraft;
Other;Autre;Anders;Sonstiger;
Pain level;Degrés de douleur;Pijnniveau;Schmerzempfindlichkeit;
Partial;Partiellement assurés;Gedeeltelijk;Teilversichert;
Password;Mot de passe;Wachtwoord;Passwort;
Personal;Personnel;Persoonlijk;Persönlich;
Phone;Numéro de téléphone;Telefoonnummer;Telefonnummer;
Please, fill all fields;Veuillez remplir tous les champs;Vul alle velden in aub ;Bitte alle Felder ausfüllen;
Polio;Polio;Polio ;Kinderlähmung;
Pollen;Pollen;Pollen ;Pollen;
Post secondary;Post-bac;Na de middelbare;Postsekundär;
Postal Address;Adresse postale;Postadres;Postalische Anschrift;
Postal Code;Code postal;Postcode;Postleitzahl;
Preferred Name;Pseudo;Voorkeursnaam;Wunschname;
Primary;Primaire;Hoogste opleiding;Pflichtschule;
Profession;Profession;Beroep;Beruf;
Provided;Fourni;Gegeven;bereitgestellt;
Pulse at rest;Pouls au repos;Pols bij rust ;Ruhepuls;
Rabies;Rage;Hondsdolheid;Tollwut;
Register;S'inscrire;Registreer;Registrieren;
Relation;Entourage;Relatie;Beziehung;
Relative;Parents;Verwanten;Verwandter;
Residential Address;Adresse;Woonadres;Wohnsitz;
Respiratory Rate;Fréquence respiratoire;Ademhalingsfrequentie;Atemfrequenz;
Resting;Au repos;Rustend;Ruhend;
Retired;Retraité;Gepensioneerd;In Rente;
Rollator;Déambulateur;Rollator;Rollator;
Save;Sauvegarder;Besparen;Speichern;
Sedentarism;Sédentarité;Sendentair ;Sesshaftigkeit;
Seizure;Crise;Hartinfarct ;Anfälle;
Select one;Sélectionner un choix;Selecteer ;Auswählen;
Self-rated Health;Auto évaluation de santé;Zelf ingeschatte gezondheid;Selbsteinschätzung der Gesundheit;
Self Description Personality;Auto description de votre personnalité;Zelf beschreven persoonlijkheid;Selbstbeschreibung Ihrer Persönlichkeit;
Server Options;Paramètres du serveur;Server instellingen;Server Einstellungen;
Settings;Paramètres;Instellingen;Einstellungen;
Single;Célibataire;Single;alleinstehend;
Smoker;Fumeur;Roker ;Raucher;
Social Media Profiles;Profiles sur les réseaux sociaux;Social media profielen;Soziale Medien Profile;
Social Security Number;Numéro de sécurité sociale;Burger Service nummer ;Sozialversicherungsnummer;
Spanish;Espagnol;Spaans;Spanisch;
State/Province;Région;Staat;Bundesland;
Steps per Minute (spm);Pas par minute (ppm);Stappen per minuut (spm);Schritte pro Minute (spm);
Street;Rue;Straat;Straße;
Stroke;accident vasculaire cérébral;Beroerte ;Schlaganfall;
Surgeries;Opérations chirurgicales;Operaties ;Operationen;
Swedish;Suédois;Zweeds;Schwedisch;
Teacher;Enseignant;Leraar;Lehrer;
Temperature;Température;Temperatuur;Temperatur;
Tertiary;Etudes supérieures;Hoger;Tertiär;
This contact will be deleted.;Ce contact va être supprimé.;Dit contact wordt verwijderd.;Dieser Kontakt wird gelöscht.;
This is your username. Cannot be changed.;Ceci est votre nom d'utilisateur. Il ne pourra être modifié. ;Dit is uw gebruikersnaam. Deze kan niet veranderd worden.;Dies ist Ihr Benutzername. Dieser kann nicht geändert werden.;
This will delete your entire profile.;Cette action supprimera entièrement votre profil.;Dit zal uw volledige profiel verwijderen.;Dies wird Ihr gesamtes Profil löschen.;
Unemployed;Au chômage;Werkloos;Arbeitslos;
Upper secondary;Lycée;Hoger middelbaar;Oberstufe;
User Name;Nom d'utilisateur;Gebruikersnaam;Benutzername;
User Profile ID;Numéro d'identification;Gebruiker profiel ID ;Benutzer ID;
Vaccinations;Vaccins;Vaccinatie ;Impfungen;
Verifying credentials;Vérification des identifiants;Gegevens verifieren ;Angaben werden verifiziert;
Vision acuity Score;Score d'acuité visuelle;Zichtvermogen ;Sehvermögen ;
Walking Speed;Vitesse de marche;Loopsnelheid;Gehgeschwindigkeit;
Weight;Poids;Gewicht;Gewicht;
Wheelchair;Fauteuil roulant;Rolstoel;Rollstuhl;
Widow / Widower;Veuf;Weduwe/Weduwnaar;verwitwet;
Your password;Votre mot de passe;Uw wachtwoord ;Ihr Passwort;
Your Profile;Votre profil;Jouw profiel;Ihr Profil;
British, Dutch, French, Swedish...;Britannique, Néerlandais, Français, Suédois...;Brits, Nederlands, Frans, Zweeds...;Brittisch, Niederländisch, Französisch, Schwedisch...;
Spanish, German, Irish...;Espagnol, Allemand...;Spaans, Duits, Iers...;Spanisch, Deutsch, Irisch...;
%s is now in your contact list;%s a été ajouté à votre liste de contact;%s is nu in uw contacten lijst ;%s ist jetzt in Ihrer Kontaktliste;
%s's info has been saved;Les informations concernant %s ont bien été sauvegardées;%s van de informatie is nu opgeslagen;Die Kontaktinformationen für %s wurden gespeichert;
OK, %s is no longer your contact;OK, %s ne fait plus partie de vos contacts;OK, %s is geen contact meer ;%s wurde aus Ihrer Kontaktliste entfernt;
Access rights for %s have been saved;Les droits d'accès pour %s ont été sauvegardés;Toegangsrechten voor %s zijn opgeslagen;Zugriffsrechte für %s wurden gespeichert;
